transaction_year,transaction_month,transaction_day,line,station_name,station_number,town,longitude,latitude,passage_cnt,passanger_cnt,date
2025,11,3,T5 EMINONU-ALIBEYKOY,Eminönü,,Fatih,,,15893,14517,2025-11-03
2025,6,16,T5 EMINONU-ALIBEYKOY,Balat,,Fatih,,,3267,2809,2025-06-16
2025,9,12,T5 EMINONU-ALIBEYKOY,Eyüp Devlet Hastanesi,,Fatih,,,3000,2820,2025-09-12
2025,1,6,T5 EMINONU-ALIBEYKOY,Alibeyköy Metro,,Fatih,,,9904,9571,2025-01-06
2025,1,20,T5 EMINONU-ALIBEYKOY,Eyüp Teleferik,,Fatih,,,3333,2928,2025-01-20
2025,11,24,T5 EMINONU-ALIBEYKOY,Alibeyköy,,Fatih,,,2981,2886,2025-11-24
2025,3,4,T5 EMINONU-ALIBEYKOY,Ayvansaray,,Fatih,,,1971,1866,2025-03-04
2025,8,1,T5 EMINONU-ALIBEYKOY,Eyüp Devlet Hastanesi,,Fatih,,,2796,2582,2025-08-01
2025,2,5,T5 EMINONU-ALIBEYKOY,Silahtarağa,,Fatih,,,2943,2846,2025-02-05
2025,2,25,T5 EMINONU-ALIBEYKOY,Alibeyköy Metro,,Fatih,,,10221,9925,2025-02-25
2025,2,27,T5 EMINONU-ALIBEYKOY,Fener,,Fatih,,,3766,3413,2025-02-27
2025,4,4,T5 EMINONU-ALIBEYKOY,Alibeyköy Metro,,Fatih,,,8206,7662,2025-04-04
2025,5,10,T5 EMINONU-ALIBEYKOY,Balat,,Fatih,,,3144,2734,2025-05-10
2025,5,9,T5 EMINONU-ALIBEYKOY,Cep Otogar,,Fatih,,,4459,4242,2025-05-09
2025,11,24,T5 EMINONU-ALIBEYKOY,Eyüp Teleferik,,Fatih,,,3513,3166,2025-11-24
2025,1,25,T5 EMINONU-ALIBEYKOY,Küçükpazar,,Fatih,,,3423,3151,2025-01-25
2025,5,5,T5 EMINONU-ALIBEYKOY,Cep Otogar,,Fatih,,,4852,4618,2025-05-05
2025,3,6,T5 EMINONU-ALIBEYKOY,Ayvansaray,,Fatih,,,2131,2026,2025-03-06
2025,6,22,T5 EMINONU-ALIBEYKOY,Alibeyköy Metro,,Fatih,,,6103,5627,2025-06-22
2025,2,13,T5 EMINONU-ALIBEYKOY,Küçükpazar,,Fatih,,,4594,4339,2025-02-13
2025,5,12,T5 EMINONU-ALIBEYKOY,Fener,,Fatih,,,3467,3046,2025-05-12
2025,12,4,T5 EMINONU-ALIBEYKOY,Küçükpazar,,Fatih,,,4878,4662,2025-12-04
2025,3,19,T5 EMINONU-ALIBEYKOY,Balat,,Fatih,,,2567,2324,2025-03-19
2025,7,29,T5 EMINONU-ALIBEYKOY,Ayvansaray,,Fatih,,,1493,1356,2025-07-29
2025,11,30,T5 EMINONU-ALIBEYKOY,Ayvansaray,,Fatih,,,2305,1990,2025-11-30
2025,8,31,T5 EMINONU-ALIBEYKOY,Balat,,Fatih,,,3155,2619,2025-08-31
2025,12,18,T5 EMINONU-ALIBEYKOY,Eyüp Teleferik,,Fatih,,,3460,3205,2025-12-18
2025,5,5,T5 EMINONU-ALIBEYKOY,Küçükpazar,,Fatih,,,4928,4625,2025-05-05
2025,12,26,T5 EMINONU-ALIBEYKOY,Cibali,,Fatih,,,2786,2621,2025-12-26
2025,7,10,T5 EMINONU-ALIBEYKOY,Küçükpazar,,Fatih,,,3589,3314,2025-07-10
2025,1,13,T5 EMINONU-ALIBEYKOY,Küçükpazar,,Fatih,,,4002,3857,2025-01-13
2025,2,18,T5 EMINONU-ALIBEYKOY,Silahtarağa,,Fatih,,,3300,3182,2025-02-18
2025,4,18,T5 EMINONU-ALIBEYKOY,Balat,,Fatih,,,4245,3554,2025-04-18
2025,3,17,T5 EMINONU-ALIBEYKOY,Küçükpazar,,Fatih,,,5095,4880,2025-03-17
2025,11,14,T5 EMINONU-ALIBEYKOY,Balat,,Fatih,,,3876,3367,2025-11-14
2025,11,5,T5 EMINONU-ALIBEYKOY,Fener,,Fatih,,,3285,2862,2025-11-05
2025,4,15,T5 EMINONU-ALIBEYKOY,Ayvansaray,,Fatih,,,2440,2273,2025-04-15
2025,5,29,T5 EMINONU-ALIBEYKOY,Balat,,Fatih,,,3715,3195,2025-05-29
2025,9,18,T5 EMINONU-ALIBEYKOY,Cep Otogar,,Fatih,,,4314,4106,2025-09-18
2025,1,16,T5 EMINONU-ALIBEYKOY,Cep Otogar,,Fatih,,,3816,3628,2025-01-16
2025,12,16,T5 EMINONU-ALIBEYKOY,Alibeyköy,,Fatih,,,3187,3050,2025-12-16
2025,3,17,T5 EMINONU-ALIBEYKOY,Universite,,Fatih,,,4350,4200,2025-03-17
2025,2,16,T5 EMINONU-ALIBEYKOY,Universite,,Fatih,,,1169,1081,2025-02-16
2025,6,4,T5 EMINONU-ALIBEYKOY,Silahtarağa,,Fatih,,,3044,2874,2025-06-04
2025,6,11,T5 EMINONU-ALIBEYKOY,Eminönü,,Fatih,,,14200,12854,2025-06-11
2025,6,29,T5 EMINONU-ALIBEYKOY,Feshane,,Fatih,,,3596,3039,2025-06-29
2025,1,21,T5 EMINONU-ALIBEYKOY,Feshane,,Fatih,,,3649,3327,2025-01-21
2025,6,30,T5 EMINONU-ALIBEYKOY,Eyüp Teleferik,,Fatih,,,2804,2457,2025-06-30
2025,3,9,T5 EMINONU-ALIBEYKOY,Alibeyköy Metro,,Fatih,,,5972,5579,2025-03-09
2025,2,15,T5 EMINONU-ALIBEYKOY,Balat,,Fatih,,,3445,3091,2025-02-15
2025,9,1,T5 EMINONU-ALIBEYKOY,Alibeyköy Metro,,Fatih,,,5895,5526,2025-09-01
2025,6,13,T5 EMINONU-ALIBEYKOY,Silahtarağa,,Fatih,,,2825,2676,2025-06-13
2025,7,17,T5 EMINONU-ALIBEYKOY,Eyüp Devlet Hastanesi,,Fatih,,,2939,2730,2025-07-17
2025,12,15,T5 EMINONU-ALIBEYKOY,Alibeyköy Metro,,Fatih,,,9095,8817,2025-12-15
2025,12,15,T5 EMINONU-ALIBEYKOY,Universite,,Fatih,,,4064,3931,2025-12-15
2025,11,6,T5 EMINONU-ALIBEYKOY,Universite,,Fatih,,,4207,4075,2025-11-06
2025,9,3,T5 EMINONU-ALIBEYKOY,Eyüp Teleferik,,Fatih,,,4392,3727,2025-09-03
2025,3,14,T5 EMINONU-ALIBEYKOY,Feshane,,Fatih,,,5235,4840,2025-03-14
2025,1,11,T5 EMINONU-ALIBEYKOY,Alibeyköy,,Fatih,,,2659,2535,2025-01-11
2025,11,15,T5 EMINONU-ALIBEYKOY,Cep Otogar,,Fatih,,,4270,3914,2025-11-15
2025,6,20,T5 EMINONU-ALIBEYKOY,Eyüp Teleferik,,Fatih,,,3947,3476,2025-06-20
2025,2,26,T5 EMINONU-ALIBEYKOY,Alibeyköy,,Fatih,,,3956,3784,2025-02-26
2025,4,16,T5 EMINONU-ALIBEYKOY,Fener,,Fatih,,,4514,3850,2025-04-16
2025,9,11,T5 EMINONU-ALIBEYKOY,Alibeyköy Metro,,Fatih,,,7518,7180,2025-09-11
2025,1,12,T5 EMINONU-ALIBEYKOY,Silahtarağa,,Fatih,,,1393,1313,2025-01-12
2025,5,2,T5 EMINONU-ALIBEYKOY,Cibali,,Fatih,,,3281,2996,2025-05-02
2025,1,9,T5 EMINONU-ALIBEYKOY,Küçükpazar,,Fatih,,,5052,4779,2025-01-09
2025,8,2,T5 EMINONU-ALIBEYKOY,Eminönü,,Fatih,,,16634,14288,2025-08-02
2025,6,16,T5 EMINONU-ALIBEYKOY,Feshane,,Fatih,,,3151,2891,2025-06-16
2025,10,11,T5 EMINONU-ALIBEYKOY,Eminönü,,Fatih,,,15256,13447,2025-10-11
2025,4,25,T5 EMINONU-ALIBEYKOY,Cibali,,Fatih,,,1390,1293,2025-04-25
2025,10,11,T5 EMINONU-ALIBEYKOY,Cibali,,Fatih,,,1605,1410,2025-10-11
2025,6,1,T5 EMINONU-ALIBEYKOY,Cep Otogar,,Fatih,,,2840,2645,2025-06-01
2025,6,11,T5 EMINONU-ALIBEYKOY,Feshane,,Fatih,,,3173,2884,2025-06-11
2025,10,22,T5 EMINONU-ALIBEYKOY,Alibeyköy Metro,,Fatih,,,8107,7831,2025-10-22
2025,3,10,T5 EMINONU-ALIBEYKOY,Feshane,,Fatih,,,3812,3581,2025-03-10
2025,1,25,T5 EMINONU-ALIBEYKOY,Ayvansaray,,Fatih,,,1394,1293,2025-01-25
2025,6,28,T5 EMINONU-ALIBEYKOY,Alibeyköy,,Fatih,,,3218,3003,2025-06-28
2025,11,16,T5 EMINONU-ALIBEYKOY,Balat,,Fatih,,,3760,3238,2025-11-16
2025,12,24,T5 EMINONU-ALIBEYKOY,Ayvansaray,,Fatih,,,2072,1926,2025-12-24
2025,8,19,T5 EMINONU-ALIBEYKOY,Eminönü,,Fatih,,,16359,14032,2025-08-19
2025,2,5,T5 EMINONU-ALIBEYKOY,Ayvansaray,,Fatih,,,1595,1515,2025-02-05
2025,11,3,T5 EMINONU-ALIBEYKOY,Eyüp Teleferik,,Fatih,,,3626,3289,2025-11-03
2025,9,27,T5 EMINONU-ALIBEYKOY,Silahtarağa,,Fatih,,,2544,2375,2025-09-27
